装備種別	進化段階	分岐キー	分岐名	役割	進化元ID	進化元	進化元ランク	進化先ID	進化先	進化先ランク	強装備の欠片	専用素材コード	専用素材名	専用素材数	入手先	備考
武器	SS→SSS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_BOW_GALE_SS	緑葉の狩弓エルフィア	SS	WPN_BR_BOW_GALE_SSS	天翔の迅弓	SSS	25	MAT_BR_WPN_GALE_SECRET	疾風の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_BOW_GALE_SSS	天翔の迅弓	SSS	WPN_BR_BOW_GALE_EPIC	風精王弓エルフィオン	EPIC	35	MAT_BR_WPN_GALE_CREST	疾風の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。疾風系の最終装備。
武器	A→S	holy	聖剣系	安定 / 回復職・勇者向け	WPN_0073	ルミナスロッド	A	WPN_BR_STAFF_HOLY_S	祈星杖アークレア	S	10	MAT_BR_WPN_HOLY_PATH	聖剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_STAFF_HOLY_S	祈星杖アークレア	S	WPN_BR_STAFF_HOLY_SS	星詠みの祝杖	SS	15	MAT_BR_WPN_HOLY_ANCIENT	聖剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_STAFF_HOLY_SS	星詠みの祝杖	SS	WPN_BR_STAFF_HOLY_SSS	天啓の神杖	SSS	25	MAT_BR_WPN_HOLY_SECRET	聖剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_STAFF_HOLY_SSS	天啓の神杖	SSS	WPN_BR_STAFF_HOLY_EPIC	星祈聖杖セレスティナ	EPIC	35	MAT_BR_WPN_HOLY_CREST	聖剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。聖剣系の最終装備。
武器	A→S	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_0073	ルミナスロッド	A	WPN_BR_STAFF_DARK_S	黒炎の呪杖	S	10	MAT_BR_WPN_DARK_PATH	魔剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_STAFF_DARK_S	黒炎の呪杖	S	WPN_BR_STAFF_DARK_SS	冥府杖ネクロム	SS	15	MAT_BR_WPN_DARK_ANCIENT	魔剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_STAFF_DARK_SS	冥府杖ネクロム	SS	WPN_BR_STAFF_DARK_SSS	深淵の禁杖	SSS	25	MAT_BR_WPN_DARK_SECRET	魔剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_STAFF_DARK_SSS	深淵の禁杖	SSS	WPN_BR_STAFF_DARK_EPIC	深淵魔導杖ネクロセイド	EPIC	35	MAT_BR_WPN_DARK_CREST	魔剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。魔剣系の最終装備。
武器	A→S	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_0073	ルミナスロッド	A	WPN_BR_STAFF_GALE_S	星風の短杖	S	10	MAT_BR_WPN_GALE_PATH	疾風の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_STAFF_GALE_S	星風の短杖	S	WPN_BR_STAFF_GALE_SS	森羅の風杖エルフィア	SS	15	MAT_BR_WPN_GALE_ANCIENT	疾風の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_STAFF_GALE_SS	森羅の風杖エルフィア	SS	WPN_BR_STAFF_GALE_SSS	天翔の迅杖	SSS	25	MAT_BR_WPN_GALE_SECRET	疾風の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_STAFF_GALE_SSS	天翔の迅杖	SSS	WPN_BR_STAFF_GALE_EPIC	森羅風杖エルヴェール	EPIC	35	MAT_BR_WPN_GALE_CREST	疾風の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。疾風系の最終装備。
武器	A→S	holy	聖剣系	安定 / 回復職・勇者向け	WPN_0084	ルミナスの秘典	A	WPN_BR_GRIMOIRE_HOLY_S	聖典アークレア	S	10	MAT_BR_WPN_HOLY_PATH	聖剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_GRIMOIRE_HOLY_S	聖典アークレア	S	WPN_BR_GRIMOIRE_HOLY_SS	星律の聖典	SS	15	MAT_BR_WPN_HOLY_ANCIENT	聖剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_GRIMOIRE_HOLY_SS	星律の聖典	SS	WPN_BR_GRIMOIRE_HOLY_SSS	天命の啓典	SSS	25	MAT_BR_WPN_HOLY_SECRET	聖剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_GRIMOIRE_HOLY_SSS	天命の啓典	SSS	WPN_BR_GRIMOIRE_HOLY_EPIC	聖律典アークノヴァ	EPIC	35	MAT_BR_WPN_HOLY_CREST	聖剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。聖剣系の最終装備。
武器	A→S	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_0084	ルミナスの秘典	A	WPN_BR_GRIMOIRE_DARK_S	黒炎の禁書	S	10	MAT_BR_WPN_DARK_PATH	魔剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_GRIMOIRE_DARK_S	黒炎の禁書	S	WPN_BR_GRIMOIRE_DARK_SS	冥府の禁書ネクロム	SS	15	MAT_BR_WPN_DARK_ANCIENT	魔剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_GRIMOIRE_DARK_SS	冥府の禁書ネクロム	SS	WPN_BR_GRIMOIRE_DARK_SSS	深淵写本	SSS	25	MAT_BR_WPN_DARK_SECRET	魔剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_GRIMOIRE_DARK_SSS	深淵写本	SSS	WPN_BR_GRIMOIRE_DARK_EPIC	冥律魔典ネクロノクス	EPIC	35	MAT_BR_WPN_DARK_CREST	魔剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。魔剣系の最終装備。
武器	A→S	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_0084	ルミナスの秘典	A	WPN_BR_GRIMOIRE_GALE_S	星風の魔導書	S	10	MAT_BR_WPN_GALE_PATH	疾風の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_GRIMOIRE_GALE_S	星風の魔導書	S	WPN_BR_GRIMOIRE_GALE_SS	翠風の魔導環エルフィア	SS	15	MAT_BR_WPN_GALE_ANCIENT	疾風の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_GRIMOIRE_GALE_SS	翠風の魔導環エルフィア	SS	WPN_BR_GRIMOIRE_GALE_SSS	天翔の迅典	SSS	25	MAT_BR_WPN_GALE_SECRET	疾風の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_GRIMOIRE_GALE_SSS	天翔の迅典	SSS	WPN_BR_GRIMOIRE_GALE_EPIC	風詠魔典エルシルフ	EPIC	35	MAT_BR_WPN_GALE_CREST	疾風の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。疾風系の最終装備。
武器	A→S	holy	聖剣系	安定 / 回復職・勇者向け	WPN_0095	武神の拳	A	WPN_BR_FIST_HOLY_S	聖拳アークレア	S	10	MAT_BR_WPN_HOLY_PATH	聖剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_FIST_HOLY_S	聖拳アークレア	S	WPN_BR_FIST_HOLY_SS	星拳の聖甲	SS	15	MAT_BR_WPN_HOLY_ANCIENT	聖剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_FIST_HOLY_SS	星拳の聖甲	SS	WPN_BR_FIST_HOLY_SSS	天命の拳甲	SSS	25	MAT_BR_WPN_HOLY_SECRET	聖剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_FIST_HOLY_SSS	天命の拳甲	SSS	WPN_BR_FIST_HOLY_EPIC	聖武拳甲アークガント	EPIC	35	MAT_BR_WPN_HOLY_CREST	聖剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。聖剣系の最終装備。
武器	A→S	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_0095	武神の拳	A	WPN_BR_FIST_DARK_S	黒炎の魔拳	S	10	MAT_BR_WPN_DARK_PATH	魔剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_FIST_DARK_S	黒炎の魔拳	S	WPN_BR_FIST_DARK_SS	冥牙拳ネクロム	SS	15	MAT_BR_WPN_DARK_ANCIENT	魔剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_FIST_DARK_SS	冥牙拳ネクロム	SS	WPN_BR_FIST_DARK_SSS	深淵の鬼拳	SSS	25	MAT_BR_WPN_DARK_SECRET	魔剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_FIST_DARK_SSS	深淵の鬼拳	SSS	WPN_BR_FIST_DARK_EPIC	冥獄魔拳ネクロファング	EPIC	35	MAT_BR_WPN_DARK_CREST	魔剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。魔剣系の最終装備。
武器	A→S	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_0095	武神の拳	A	WPN_BR_FIST_GALE_S	疾風の闘拳	S	10	MAT_BR_WPN_GALE_PATH	疾風の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_FIST_GALE_S	疾風の闘拳	S	WPN_BR_FIST_GALE_SS	風牙の拳甲エルフィア	SS	15	MAT_BR_WPN_GALE_ANCIENT	疾風の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_FIST_GALE_SS	風牙の拳甲エルフィア	SS	WPN_BR_FIST_GALE_SSS	天翔の迅拳	SSS	25	MAT_BR_WPN_GALE_SECRET	疾風の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_FIST_GALE_SSS	天翔の迅拳	SSS	WPN_BR_FIST_GALE_EPIC	神速風牙拳エルラッシュ	EPIC	35	MAT_BR_WPN_GALE_CREST	疾風の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。疾風系の最終装備。
武器	A→S	holy	聖剣系	安定 / 回復職・勇者向け	WPN_0106	錬成炉の魔銃	A	WPN_BR_GUN_HOLY_S	聖銃アークレア	S	10	MAT_BR_WPN_HOLY_PATH	聖剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_GUN_HOLY_S	聖銃アークレア	S	WPN_BR_GUN_HOLY_SS	星穿ちの聖銃	SS	15	MAT_BR_WPN_HOLY_ANCIENT	聖剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_GUN_HOLY_SS	星穿ちの聖銃	SS	WPN_BR_GUN_HOLY_SSS	天命の機聖銃	SSS	25	MAT_BR_WPN_HOLY_SECRET	聖剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_GUN_HOLY_SSS	天命の機聖銃	SSS	WPN_BR_GUN_HOLY_EPIC	聖機銃セレスバレット	EPIC	35	MAT_BR_WPN_HOLY_CREST	聖剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。聖剣系の最終装備。
武器	A→S	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_0106	錬成炉の魔銃	A	WPN_BR_GUN_DARK_S	黒炎の魔銃	S	10	MAT_BR_WPN_DARK_PATH	魔剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_GUN_DARK_S	黒炎の魔銃	S	WPN_BR_GUN_DARK_SS	冥銃ネクロム	SS	15	MAT_BR_WPN_DARK_ANCIENT	魔剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_GUN_DARK_SS	冥銃ネクロム	SS	WPN_BR_GUN_DARK_SSS	深淵の魔銃	SSS	25	MAT_BR_WPN_DARK_SECRET	魔剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_GUN_DARK_SSS	深淵の魔銃	SSS	WPN_BR_GUN_DARK_EPIC	冥機銃ネクロヴォルト	EPIC	35	MAT_BR_WPN_DARK_CREST	魔剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。魔剣系の最終装備。
武器	A→S	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_0106	錬成炉の魔銃	A	WPN_BR_GUN_GALE_S	疾風の機銃	S	10	MAT_BR_WPN_GALE_PATH	疾風の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_GUN_GALE_S	疾風の機銃	S	WPN_BR_GUN_GALE_SS	風迅銃エルフィア	SS	15	MAT_BR_WPN_GALE_ANCIENT	疾風の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_GUN_GALE_SS	風迅銃エルフィア	SS	WPN_BR_GUN_GALE_SSS	天翔の迅機銃	SSS	25	MAT_BR_WPN_GALE_SECRET	疾風の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_GUN_GALE_SSS	天翔の迅機銃	SSS	WPN_BR_GUN_GALE_EPIC	風迅機銃エルストーム	EPIC	35	MAT_BR_WPN_GALE_CREST	疾風の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。疾風系の最終装備。
防具	S→SS	heavy	重装系	DEF/HP	4001	王城盾鎧アークレア	S	4002	鋼嶺の守護鎧グランベルグ	SS	15	MAT_BR_ARM_HEAVY_ANCIENT	重装の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。地域感と役割を維持する。
防具	SS→SSS	heavy	重装系	DEF/HP	4002	鋼嶺の守護鎧グランベルグ	SS	4003	竜王の城塞鎧	SSS	25	MAT_BR_ARM_HEAVY_SECRET	重装の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。地域感と役割を維持する。
防具	SSS→EPIC	heavy	重装系	DEF/HP	4003	竜王の城塞鎧	SSS	4004	鋼神鎧グランヴェルド	EPIC	35	MAT_BR_ARM_HEAVY_CREST	重装の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。重装系の最終装備。
防具	S→SS	arcane	魔装系	MAG/SPR	4005	星紋法衣ルミナス	S	4006	星律の魔導衣	SS	15	MAT_BR_ARM_ARCANE_ANCIENT	魔装の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。地域感と役割を維持する。
防具	SS→SSS	arcane	魔装系	MAG/SPR	4006	星律の魔導衣	SS	4007	次元星衣ルミナス	SSS	25	MAT_BR_ARM_ARCANE_SECRET	魔装の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。地域感と役割を維持する。
防具	SSS→EPIC	arcane	魔装系	MAG/SPR	4007	次元星衣ルミナス	SSS	4008	星律法衣ルミナリエ	EPIC	35	MAT_BR_ARM_ARCANE_CREST	魔装の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。魔装系の最終装備。
防具	S→SS	light	軽装系	SPD/LUK	4009	風精の狩衣エルフィア	S	4010	翠嵐の影衣	SS	15	MAT_BR_ARM_LIGHT_ANCIENT	軽装の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。地域感と役割を維持する。
防具	SS→SSS	light	軽装系	SPD/LUK	4010	翠嵐の影衣	SS	4011	天翔の羽衣セレスティア	SSS	25	MAT_BR_ARM_LIGHT_SECRET	軽装の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。地域感と役割を維持する。
防具	SSS→EPIC	light	軽装系	SPD/LUK	4011	天翔の羽衣セレスティア	SSS	4012	風翼影衣エルシルフィア	EPIC	35	MAT_BR_ARM_LIGHT_CREST	軽装の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。軽装系の最終装備。
防具	S→SS	traveler	旅装系	万能	4013	砂海の旅装サンドラ	S	4014	星巡りの外套	SS	15	MAT_BR_ARM_TRAVELER_ANCIENT	旅装の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。地域感と役割を維持する。
防具	SS→SSS	traveler	旅装系	万能	4014	星巡りの外套	SS	4015	次元渡りの旅衣	SSS	25	MAT_BR_ARM_TRAVELER_SECRET	旅装の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。地域感と役割を維持する。
防具	SSS→EPIC	traveler	旅装系	万能	4015	次元渡りの旅衣	SSS	4016	七都巡りの冒険王装アルヴェリア	EPIC	35	MAT_BR_ARM_TRAVELER_CREST	旅装の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。旅装系の最終装備。
防具	A→S	heavy	重装系	DEF/HP	3007	月影の戦衣	A	4001	王城盾鎧アークレア	S	10	MAT_BR_ARM_HEAVY_PATH	重装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	arcane	魔装系	MAG/SPR	3007	月影の戦衣	A	4005	星紋法衣ルミナス	S	10	MAT_BR_ARM_ARCANE_PATH	魔装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	light	軽装系	SPD/LUK	3007	月影の戦衣	A	4009	風精の狩衣エルフィア	S	10	MAT_BR_ARM_LIGHT_PATH	軽装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	traveler	旅装系	万能	3007	月影の戦衣	A	4013	砂海の旅装サンドラ	S	10	MAT_BR_ARM_TRAVELER_PATH	旅装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	heavy	重装系	DEF/HP	3018	聖騎士の鎧	A	4001	王城盾鎧アークレア	S	10	MAT_BR_ARM_HEAVY_PATH	重装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	arcane	魔装系	MAG/SPR	3018	聖騎士の鎧	A	4005	星紋法衣ルミナス	S	10	MAT_BR_ARM_ARCANE_PATH	魔装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	light	軽装系	SPD/LUK	3018	聖騎士の鎧	A	4009	風精の狩衣エルフィア	S	10	MAT_BR_ARM_LIGHT_PATH	軽装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	traveler	旅装系	万能	3018	聖騎士の鎧	A	4013	砂海の旅装サンドラ	S	10	MAT_BR_ARM_TRAVELER_PATH	旅装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	heavy	重装系	DEF/HP	3029	ルミナスローブ	A	4001	王城盾鎧アークレア	S	10	MAT_BR_ARM_HEAVY_PATH	重装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	arcane	魔装系	MAG/SPR	3029	ルミナスローブ	A	4005	星紋法衣ルミナス	S	10	MAT_BR_ARM_ARCANE_PATH	魔装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	light	軽装系	SPD/LUK	3029	ルミナスローブ	A	4009	風精の狩衣エルフィア	S	10	MAT_BR_ARM_LIGHT_PATH	軽装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	traveler	旅装系	万能	3029	ルミナスローブ	A	4013	砂海の旅装サンドラ	S	10	MAT_BR_ARM_TRAVELER_PATH	旅装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	heavy	重装系	DEF/HP	3040	星渡りの旅衣	A	4001	王城盾鎧アークレア	S	10	MAT_BR_ARM_HEAVY_PATH	重装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	arcane	魔装系	MAG/SPR	3040	星渡りの旅衣	A	4005	星紋法衣ルミナス	S	10	MAT_BR_ARM_ARCANE_PATH	魔装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	light	軽装系	SPD/LUK	3040	星渡りの旅衣	A	4009	風精の狩衣エルフィア	S	10	MAT_BR_ARM_LIGHT_PATH	軽装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	traveler	旅装系	万能	3040	星渡りの旅衣	A	4013	砂海の旅装サンドラ	S	10	MAT_BR_ARM_TRAVELER_PATH	旅装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
防具	A→S	heavy	重装系	DEF/HP	3051	武神の戦衣	A	4001	王城盾鎧アークレア	S	10	MAT_BR_ARM_HEAVY_PATH	重装の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。任意のA防具から系統選択する想定。
